UA_cond [kW/C],UA_evap_sens [kW/C],COP [-]
1.417,0.5948,5.891
1.445,0.5948,5.919
1.472,0.5948,5.945
1.5,0.5948,5.971
0.7,0.6086,4.532
0.7276,0.6086,4.623
0.7552,0.6086,4.708
0.7828,0.6086,4.79
0.8103,0.6086,4.868
0.8379,0.6086,4.942
0.8655,0.6086,5.012
0.8931,0.6086,5.079
0.9207,0.6086,5.143
0.9483,0.6086,5.204
0.9759,0.6086,5.262
1.003,0.6086,5.317
1.031,0.6086,5.37
1.059,0.6086,5.42
1.086,0.6086,5.468
1.114,0.6086,5.514
1.141,0.6086,5.558
1.169,0.6086,5.6
1.197,0.6086,5.641
1.224,0.6086,5.679
1.252,0.6086,5.716
1.279,0.6086,5.751
1.307,0.6086,5.785
1.334,0.6086,5.818
1.362,0.6086,5.849
1.39,0.6086,5.879
1.417,0.6086,5.908
1.445,0.6086,5.935
1.472,0.6086,5.962
1.5,0.6086,5.987
0.7,0.6224,4.542
0.7276,0.6224,4.633
0.7552,0.6224,4.72
0.7828,0.6224,4.802
0.8103,0.6224,4.88
0.8379,0.6224,4.954
0.8655,0.6224,5.025
0.8931,0.6224,5.092
0.9207,0.6224,5.156
0.9483,0.6224,5.217
0.9759,0.6224,5.276
1.003,0.6224,5.331
1.031,0.6224,5.384
1.059,0.6224,5.435
1.086,0.6224,5.483
1.114,0.6224,5.529
1.141,0.6224,5.574
1.169,0.6224,5.616
1.197,0.6224,5.656
1.224,0.6224,5.695
1.252,0.6224,5.732
1.279,0.6224,5.767
1.307,0.6224,5.801
1.334,0.6224,5.834
1.362,0.6224,5.865
1.39,0.6224,5.895
1.417,0.6224,5.924
1.445,0.6224,5.951
1.472,0.6224,5.978
1.5,0.6224,6.003
0.7,0.6362,4.552
0.7276,0.6362,4.643
0.7552,0.6362,4.73
0.7828,0.6362,4.813
0.8103,0.6362,4.891
0.8379,0.6362,4.966
0.8655,0.6362,5.037
0.8931,0.6362,5.105
0.9207,0.6362,5.169
0.9483,0.6362,5.231
0.9759,0.6362,5.289
1.003,0.6362,5.345
1.031,0.6362,5.398
1.059,0.6362,5.449
1.086,0.6362,5.497
1.114,0.6362,5.544
1.141,0.6362,5.588
1.169,0.6362,5.63
1.197,0.6362,5.671
1.224,0.6362,5.71
1.252,0.6362,5.747
1.279,0.6362,5.782
1.307,0.6362,5.816
1.334,0.6362,5.849
1.362,0.6362,5.88
1.39,0.6362,5.91
1.417,0.6362,5.939
1.445,0.6362,5.967
1.472,0.6362,5.993
1.5,0.6362,6.019
0.7,0.65,4.561
0.7276,0.65,4.653
0.7552,0.65,4.741
0.7828,0.65,4.824
0.8103,0.65,4.902
0.8379,0.65,4.977
0.8655,0.65,5.049
0.8931,0.65,5.117
0.9207,0.65,5.182
0.9483,0.65,5.243
0.9759,0.65,5.302
1.003,0.65,5.358
1.031,0.65,5.411
1.059,0.65,5.462
1.086,0.65,5.511
1.114,0.65,5.558
1.141,0.65,5.602
1.169,0.65,5.644
1.197,0.65,5.685
1.224,0.65,5.724
1.252,0.65,5.761
1.279,0.65,5.797
1.307,0.65,5.831
1.334,0.65,5.863
1.362,0.65,5.895
1.39,0.65,5.925
1.417,0.65,5.954
1.445,0.65,5.981
1.472,0.65,6.008
1.5,0.65,6.033
